Source,Target,Type,Id,Label,timeset,Weight,MMNT-EdgeType
3,3. b,Undirected,337,Person-Person,,4,Person<--->Person
3,3. d,Undirected,338,Person-Person,,4,Person<--->Person
3,3. r,Undirected,339,Person-Person,,4,Person<--->Person
3,3 3,Undirected,340,Person-Person,,4,Person<--->Person
3,3arf afndy alm7mljy,Undirected,341,Person-Person,,4,Person<--->Person
3,3arf alm7majy,Undirected,342,Person-Person,,4,Person<--->Person
3,3arf alm7mljy,Undirected,343,Person-Person,,4,Person<--->Person
3,3arf  m7mljy,Undirected,344,Person-Person,,4,Person<--->Person
3,3bd al7myd  alraf3y,Undirected,345,Person-Person,,4,Person<--->Person
3,3bd allh adyb alm3rwf,Undirected,346,Person-Person,,4,Person<--->Person
3,3bd allTyf  albGdady,Undirected,347,Person-Person,,4,Person<--->Person
3,3bd almjyd alQSab,Undirected,348,Person-Person,,8,Person<--->Person
3,3bd almjyd QSab,Undirected,349,Person-Person,,4,Person<--->Person
3,3bd alQadr alKwjh,Undirected,350,Person-Person,,4,Person<--->Person
3,3bd alQadr  almbark,Undirected,351,Person-Person,,8,Person<--->Person
3,3bd alQadr bn m7md almbark al7sny aljza5ry,Undirected,352,Person-Person,,4,Person<--->Person
3,3bd alQadr  kywan,Undirected,353,Person-Person,,8,Person<--->Person
3,3bd alr7mn  alQSar,Undirected,354,Person-Person,,40,Person<--->Person
3,3bd alr7ym afndy Qlylat,Undirected,355,Person-Person,,4,Person<--->Person
3,3bd alwhab alWrk0,Undirected,356,Person-Person,,4,Person<--->Person
3,3bd mSTfA,Undirected,357,Person-Person,,4,Person<--->Person
3,3 m,Undirected,358,Person-Person,,4,Person<--->Person
3,7nyf0,Undirected,359,Person-Person,,4,Person<--->Person
3,a . 7,Undirected,360,Person-Person,,4,Person<--->Person
3,a. j,Undirected,361,Person-Person,,4,Person<--->Person
3,a7md 3byd,Undirected,362,Person-Person,,4,Person<--->Person
3,a7md  albaWa,Undirected,363,Person-Person,,12,Person<--->Person
3,a7md aljwbry,Undirected,364,Person-Person,,12,Person<--->Person
3,a7md  alSabwny,Undirected,365,Person-Person,,4,Person<--->Person
3,a7md  m7rm,Undirected,366,Person-Person,,8,Person<--->Person
3,abn alamyr m7md s3yd|m7md s3yd |m7md s3yd,Undirected,367,Person-Person,,4,Person<--->Person
3,abn tymy0,Undirected,368,Person-Person,,4,Person<--->Person
3,abrahym  Klyl  mrdm bk,Undirected,369,Person-Person,,28,Person<--->Person
3,abw alDya,Undirected,370,Person-Person,,12,Person<--->Person
3,abw als3wd mrad,Undirected,371,Person-Person,,4,Person<--->Person
