"publication.id.oclc","publication.location.name","lat.publication","long.publication","byline.location.name","lat.byline","long.byline","number.of.bylines"
644997575,"Dimashq",33.5102,36.29128,"Dimashq",33.5102,36.29128,59
4770057679,"al-Qāhira",30.06263,31.24967,"Baghdād",33.34058,44.40088,32
4770057679,"Dimashq",33.5102,36.29128,"Dimashq",33.5102,36.29128,32
4770057679,"Dimashq",33.5102,36.29128,"Baghdād",33.34058,44.40088,22
4770057679,"al-Qāhira",30.06263,31.24967,"Bayrūt",33.88894,35.49442,20
4770057679,"al-Qāhira",30.06263,31.24967,"al-Qāhira",30.06263,31.24967,19
472450345,"Baghdād",33.34058,44.40088,"al-Najaf",31.25,43.83333,17
4770057679,"al-Qāhira",30.06263,31.24967,"Dimashq",33.5102,36.29128,12
4770057679,"Dimashq",33.5102,36.29128,"Bayrūt",33.88894,35.49442,11
4770057679,"Dimashq",33.5102,36.29128,"Zaḥla",33.84972,35.90417,11
792756327,"Bayrūt",33.88894,35.49442,"Bayrūt",33.88894,35.49442,8
4770057679,"Dimashq",33.5102,36.29128,"al-Qāhira",30.06263,31.24967,8
4770057679,"Dimashq",33.5102,36.29128,"al-Najaf",31.25,43.83333,7
644997575,"Dimashq",33.5102,36.29128,"Ḥamāh",35.13179,36.75783,6
4770057679,"al-Qāhira",30.06263,31.24967,"Omaha",41.25626,-95.94043,6
644997575,"Dimashq",33.5102,36.29128,"Bayrūt",33.88894,35.49442,5
792756327,"Bayrūt",33.88894,35.49442,"Ṣaida",33.55751,35.37148,5
792756327,"Bayrūt",33.88894,35.49442,"Zaḥla",33.84972,35.90417,5
4770057679,"Dimashq",33.5102,36.29128,"al-Nabaṭiyya",33.37717,35.48383,5
4770057679,"Dimashq",33.5102,36.29128,"Astāna",41.01384,28.94966,5
644997575,"Dimashq",33.5102,36.29128,"al-Madīna",24.46861,39.61417,4
644997575,"Dimashq",33.5102,36.29128,"al-Qāhira",30.06263,31.24967,4
644997575,"Dimashq",33.5102,36.29128,"Astāna",41.01384,28.94966,4
792756327,"Bayrūt",NA,NA,"مصر",NA,NA,4
4770057679,"al-Qāhira",30.06263,31.24967,"Ṭanṭā",30.78847,31.00192,4
4770057679,"Dimashq",33.5102,36.29128,"Ḥayfā",32.81841,34.9885,4
472450345,"Baghdād",33.34058,44.40088,"Baghdād",33.34058,44.40088,3
792756327,"Bayrūt",33.88894,35.49442,"al-Ḥadath",33.83333,35.53333,3
792756327,"Bayrūt",33.88894,35.49442,"Dimashq",33.5102,36.29128,3
4770057679,"al-Qāhira",30.06263,31.24967,"al-Nabaṭiyya",33.37717,35.48383,3
4770057679,"al-Qāhira",30.06263,31.24967,"Jabal Lubnān",33.91667,35.66667,3
4770057679,"Dimashq",33.5102,36.29128,"Lincoln",40.8,-96.66696,3
4770057679,"Dimashq",33.5102,36.29128,"Ṭarāblus al-Shām",34.43352,35.84415,3
4770057679,"Dimashq",33.5102,36.29128,"United States",39.76,-98.5,3
644997575,"Dimashq",33.5102,36.29128,"Gaziantep",37.05944,37.3825,2
644997575,"Dimashq",33.5102,36.29128,"Ḥalab",36.20124,37.16117,2
644997575,"Dimashq",33.5102,36.29128,"Yabrūd",33.96736,36.65741,2
792756327,"Bayrūt",NA,NA,"صيدا",NA,NA,2
792756327,"Bayrūt",33.88894,35.49442,"Alexandria",31.20176,29.91582,2
792756327,"Bayrūt",33.88894,35.49442,"Ḥalab",36.20124,37.16117,2
792756327,"Bayrūt",33.88894,35.49442,"Ḥomṣ",34.72682,36.72339,2
4770057679,"al-Qāhira",30.06263,31.24967,"al-Najaf",31.25,43.83333,2
4770057679,"al-Qāhira",30.06263,31.24967,"Astāna",41.01384,28.94966,2
4770057679,"al-Qāhira",30.06263,31.24967,"Yāfā",32.05043,34.75224,2
4770057679,"Dimashq",33.5102,36.29128,"Ḥalab",36.20124,37.16117,2
472450345,"Baghdād",33.34058,44.40088,"al-Dīwāniyya",31.99289,44.92552,1
472450345,"Baghdād",33.34058,44.40088,"al-Kāẓimiyya",37.18879,42.23989,1
472450345,"Baghdād",33.34058,44.40088,"Baṣra",30.53302,47.79747,1
472450345,"Baghdād",33.34058,44.40088,"Budapest",47.49835,19.04045,1
472450345,"Baghdād",33.34058,44.40088,"Karbalāʾ",32.61603,44.02488,1
472450345,"Baghdād",33.34058,44.40088,"الناصرية",NA,NA,1
644997575,"Dimashq",33.5102,36.29128,"Baghdād",33.34058,44.40088,1
644997575,"Dimashq",33.5102,36.29128,"Ḥomṣ",34.72682,36.72339,1
644997575,"Dimashq",33.5102,36.29128,"Palestine",31.92157,35.20329,1
644997575,"Dimashq",33.5102,36.29128,"Ṭarāblus al-Shām",34.43352,35.84415,1
644997575,"Dimashq",33.5102,36.29128,"الجامع الأموي",NA,NA,1
644997575,"Dimashq",33.5102,36.29128,"الحضارة",13.17384,43.77892,1
644997575,"Dimashq",33.5102,36.29128,"بيروت",NA,NA,1
644997575,"Dimashq",33.5102,36.29128,"حرره",NA,NA,1
792756327,"Bayrūt",NA,NA,"النصارة",NA,NA,1
792756327,"Bayrūt",NA,NA,"بيروت",NA,NA,1
792756327,"Bayrūt",NA,NA,"حيفا",NA,NA,1
792756327,"Bayrūt",NA,NA,"طرابلس",NA,NA,1
792756327,"Bayrūt",33.88894,35.49442,"al-Qāhira",30.06263,31.24967,1
792756327,"Bayrūt",33.88894,35.49442,"Ṭarāblus al-Shām",34.43352,35.84415,1
792756327,"Bayrūt",33.88894,35.49442,"Tyre",33.27333,35.19389,1
792756327,"Bayrūt",33.88894,35.49442,"Yāfā",32.05043,34.75224,1
792756327,"Bayrūt",33.88894,35.49442,"الشويفات",NA,NA,1
4770057679,"al-Qāhira",30.06263,31.24967,"al-Ḥudayda",14.79781,42.95452,1
4770057679,"al-Qāhira",30.06263,31.24967,"al-ʿIrāq",33,44,1
4770057679,"al-Qāhira",30.06263,31.24967,"Damanhur",31.03408,30.46823,1
4770057679,"al-Qāhira",30.06263,31.24967,"Ḥalab",36.20124,37.16117,1
4770057679,"al-Qāhira",30.06263,31.24967,"Ḥalwān",29.84144,31.30084,1
4770057679,"al-Qāhira",30.06263,31.24967,"Ḥayfā",32.81841,34.9885,1
4770057679,"al-Qāhira",30.06263,31.24967,"United States",39.76,-98.5,1
4770057679,"al-Qāhira",30.06263,31.24967,"Zaḥla",33.84972,35.90417,1
4770057679,"al-Qāhira",30.06263,31.24967,"بغداد",NA,NA,1
4770057679,"al-Qāhira",30.06263,31.24967,"روم ايلي",NA,NA,1
4770057679,"Dimashq",33.5102,36.29128,"Nablus",32.24056,35.28708,1
4770057679,"Dimashq",33.5102,36.29128,"New York City",40.71427,-74.00597,1
4770057679,"Dimashq",33.5102,36.29128,"Salonica",40.64361,22.93086,1
4770057679,"Dimashq",33.5102,36.29128,"Surūj",36.85119,38.47967,1
4770057679,"Dimashq",33.5102,36.29128,"العراق",NA,NA,1
4770057679,"Dimashq",33.5102,36.29128,"بين النهرين",NA,NA,1
4770057679,"Dimashq",33.5102,36.29128,"دمشق",NA,NA,1
4770057679,"Dimashq",33.5102,36.29128,"ما بين النهرين",NA,NA,1
