"publication.id.oclc","publication.location.name","lat.publication","long.publication","byline.location.name","lat.byline","long.byline","number.of.bylines"
792756327,"Bayrūt",33.88894,35.49442,"Bayrūt",33.88894,35.49442,8
792756327,"Bayrūt",33.88894,35.49442,"Ṣaida",33.55751,35.37148,5
792756327,"Bayrūt",33.88894,35.49442,"Zaḥla",33.84972,35.90417,5
792756327,"Bayrūt",NA,NA,"مصر",NA,NA,4
792756327,"Bayrūt",33.88894,35.49442,"al-Ḥadath",33.83333,35.53333,3
792756327,"Bayrūt",33.88894,35.49442,"Dimashq",33.5102,36.29128,3
792756327,"Bayrūt",NA,NA,"صيدا",NA,NA,2
792756327,"Bayrūt",33.88894,35.49442,"Alexandria",31.20176,29.91582,2
792756327,"Bayrūt",33.88894,35.49442,"Ḥalab",36.20124,37.16117,2
792756327,"Bayrūt",33.88894,35.49442,"Ḥomṣ",34.72682,36.72339,2
792756327,"Bayrūt",NA,NA,"النصارة",NA,NA,1
792756327,"Bayrūt",NA,NA,"بيروت",NA,NA,1
792756327,"Bayrūt",NA,NA,"حيفا",NA,NA,1
792756327,"Bayrūt",NA,NA,"طرابلس",NA,NA,1
792756327,"Bayrūt",33.88894,35.49442,"al-Qāhira",30.06263,31.24967,1
792756327,"Bayrūt",33.88894,35.49442,"Ṭarāblus al-Shām",34.43352,35.84415,1
792756327,"Bayrūt",33.88894,35.49442,"Tyre",33.27333,35.19389,1
792756327,"Bayrūt",33.88894,35.49442,"Yāfā",32.05043,34.75224,1
792756327,"Bayrūt",33.88894,35.49442,"الشويفات",NA,NA,1
