Source,Target,Type,Id,Label,timeset,Weight,target.id.oclc,target.title,target.location.name
472450345,lG0 al3rb,Directed,1108,,,27,472450345,لغة العرب,Baghdād
4770057679,almQtbs,Directed,1109,,,50,4770057679,المقتبس,al-Qāhira
644997575,al7Qa5Q,Directed,1110,,,25,644997575,الحقائق,Dimashq
472450345,alryaD,Directed,1111,,,24,NA,الرياض,NA
4770057679,almjl0,Directed,1112,,,27,472961924,المجلة,Paris
4770057679,mjl0 al3alm alaslamy,Directed,1115,,,20,1681243,مجلة العالم الإسلامي,Paris
644997575,almQtbs,Directed,1116,,,9,4770057679,المقتبس,al-Qāhira
644997575,almfyd,Directed,1117,,,7,1034548778,المفيد,Bayrūt
4770057679,al3rfan,Directed,1118,,,6,1022938052,العرفان,Ṣaida
472450345,alzhwr,Directed,1119,,,11,NA,الزهور,NA
4770057679,almnar,Directed,1120,,,13,1588981,المنار,al-Qāhira
4770057679,almQtTf,Directed,1121,,,12,931941685,المقتطف,Bayrūt
4770057679,alhlal,Directed,1123,,,14,1639361,الهلال,al-Qāhira
4770057679,almWrQ,Directed,1125,,,12,473817521,المشرق,Bayrūt
472450345,al3lm,Directed,1128,,,9,NA,العلم,NA
4770057679,alaQtSadyyn,Directed,1129,,,7,NA,الاقتصاديين,NA
4770057679,altrby0,Directed,1130,,,3,NA,التربية,NA
472450345,al7ya0,Directed,1131,,,5,NA,الحياة,NA
472450345,aldstwr,Directed,1132,,,6,NA,الدستور,NA
4770057679,alWrQ,Directed,1133,,,6,NA,الشرق,NA
4770057679,byrwt,Directed,1134,,,2,NA,بيروت,NA
4770057679,alDyaq,Directed,1135,,,7,1034555409,الضياء,al-Qāhira
644997575,alhlal,Directed,1137,,,4,1639361,الهلال,al-Qāhira
4770057679,mjl0 almjlat alnywywrky0,Directed,1138,,,5,19000299,مجلة المجلات النيويوركية,New York City
4770057679,alTan,Directed,1139,,,8,263593774,الطان,Paris
472450345,almQtbs,Directed,1140,,,5,4770057679,المقتبس,al-Qāhira
792756327,al7snaq,Directed,1141,,,4,792756327,الحسناء,Bayrūt
4770057679,ala7kam,Directed,1142,,,4,NA,الأحكام,NA
4770057679,al7ya0,Directed,1143,,,4,NA,الحياة,NA
472450345,bGdad,Directed,1144,,,1,NA,بغداد,NA
472450345,alhlal,Directed,1145,,,5,NA,الهلال,NA
4770057679,mjl0 almjlat alamyrky0,Directed,1146,,,3,19000299,مجلة المجلات الأميركية,New York City
4770057679,mjl0 almjlat alanklyzy0,Directed,1147,,,4,297351216,مجلة المجلات الإنكليزية,London
4770057679,almoyd,Directed,1148,,,6,792755902,المؤيد,al-Qāhira
644997575,almoyd,Directed,1149,,,5,792755902,المؤيد,al-Qāhira
4770057679,al7snaq,Directed,1150,,,4,792756327,الحسناء,Bayrūt
4770057679,altyms,Directed,1151,,,5,992611467,التيمس,London
4770057679,alaQtSad,Directed,1152,,,4,NA,الاقتصاد,NA
4770057679,aldyba,Directed,1153,,,5,NA,الديبا,NA
4770057679,alTby30,Directed,1154,,,7,NA,الطبيعة,NA
4770057679,al3almyn,Directed,1155,,,7,NA,العالمين,NA
472450345,al3raQ,Directed,1156,,,1,NA,العراق,NA
4770057679,al3lm,Directed,1157,,,5,NA,العلم,Baghdād
4770057679,alnbras,Directed,1158,,,5,NA,النبراس,NA
4770057679,alhdA,Directed,1159,,,6,NA,الهدى,NA
