Id,Label,timeset,target.id.oclc,target.title,target.location.name,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,target.title.ijmes
almQtbs,al-Muqtabas,,4770057679,المقتبس,al-Qāhira,3,0,3,64,0,64,3,al-Muqtabas
alhlal,al-Hilāl,,1639361,الهلال,al-Qāhira,3,0,3,23,0,23,3,al-Hilāl
almnar,al-Manār,,1588981,المنار,al-Qāhira,3,0,3,17,0,17,3,al-Manār
almQtTf,al-Muqtaṭaf,,931941685,المقتطف,Bayrūt,3,0,3,15,0,15,3,al-Muqtaṭaf
alDyaq,al-Diyāʾ,,1034555409,الضياء,al-Qāhira,3,0,3,10,0,10,3,al-Diyāʾ
almfyd,al-Mufīd,,1034548778,المفيد,Bayrūt,3,0,3,9,0,9,0,al-Mufīd
lG0 al3rb,Lughat al-ʿArab,,472450345,لغة العرب,Baghdād,2,0,2,29,0,29,2,Lughat al-ʿArab
al7Qa5Q,al-Ḥaqāʾiq,,644997575,الحقائق,Dimashq,2,0,2,26,0,26,0,al-Ḥaqāʾiq
mjl0 al3alm alaslamy,Revue du Monde Musulman,,1681243,مجلة العالم الإسلامي,Paris,2,0,2,21,0,21,3,Revue du Monde Musulman
almWrQ,al-Mashriq,,473817521,المشرق,Bayrūt,2,0,2,16,0,16,3,al-Mashriq
al3lm,al-ʿIlm,,NA,العلم,Baghdād,2,0,2,14,0,14,2,al-ʿIlm
almoyd,al-Muʾayyad,,792755902,المؤيد,al-Qāhira,2,0,2,11,0,11,0,al-Muʾayyad
alzhwr,al-Zuhūr,,1034545644,الزهور,al-Qāhira,2,0,2,12,0,12,2,al-Zuhūr
al7ya0,al-Ḥayāt,,NA,الحياة,NA,2,0,2,9,0,9,2,al-Ḥayāt
alTan,Le Temps,,263593774,الطان,Paris,2,0,2,9,0,9,3,Le Temps
al7snaq,al-Ḥasnāʾ,,792756327,الحسناء,Bayrūt,2,0,2,8,0,8,1,al-Ḥasnāʾ
al3almyn,al-ʿĀlamayn,,NA,العالمين,NA,2,0,2,8,0,8,3,al-ʿĀlamayn
al3rfan,al-ʿIrfān,,1022938052,العرفان,Ṣaida,2,0,2,7,0,7,3,al-ʿIrfān
albyan,al-Bayān,,792754974,البيان,al-Qāhira,2,0,2,7,0,7,3,al-Bayān
alWrQ,al-Sharq,,NA,الشرق,NA,2,0,2,7,0,7,3,al-Sharq
altyms,The Times,,992611467,التيمس,London,2,0,2,6,0,6,3,The Times
aljam30,al-Jāmiʿ,,1034547407,الجامعة,Alexandria,2,0,2,5,0,5,3,al-Jāmiʿ
mjl0 almjlat,Revue des Revues,,472961896,مجلة المجلات,Paris,2,0,2,6,0,6,0,Revue des Revues
mQtbs,al-Muqtabas,,NA,مقتبس,NA,2,0,2,4,0,4,3,al-Muqtabas
al7QyQ0,al-Ḥaqīqa,,1034550756,الحقيقة,Bayrūt,3,0,3,4,0,4,0,al-Ḥaqīqa
alaUar,al-Āthār,,1034551122,الآثار,Zaḥla,2,0,2,3,0,3,3,al-Āthār
alat7ad al3Umany,al-Ittiḥād al-ʿUthmānī,,42900564,الاتحاد العثماني,Bayrūt,2,0,2,3,0,3,0,al-Ittiḥād al-ʿUthmānī
al7QwQ,al-Ḥuqūq,,NA,الحقوق,Jabal Lubnān,3,0,3,4,0,4,1,al-Ḥuqūq
al3Sr aljdyd,al-ʿAṣr al-Jadīd,,NA,العصر الجديد,Dimashq,2,0,2,3,0,3,0,al-ʿAṣr al-Jadīd
alwTn,al-Waṭan,,NA,الوطن,Bayrūt,3,0,3,4,0,4,0,al-Waṭan
alkwUr,alkwUr,,NA,الكوثر,NA,2,0,2,3,0,3,3,alkwUr
bGdad,Baghdād,,NA,بغداد,NA,2,0,2,2,0,2,2,Baghdād
Tbyb al3a5l0,Tabīb al-ʿĀʾila,,NA,طبيب العائلة,NA,2,0,2,2,0,2,1,Tabīb al-ʿĀʾila
alTbyb,al-Ṭabīb,,173830042,الطبيب,NA,2,0,2,2,0,2,2,al-Ṭabīb
aljnan,al-Jinān,,987291181,الجنان,Bayrūt,2,0,2,2,0,2,2,al-Jinān
alarWad,al-Irshād,,NA,الإرشاد,NA,2,0,2,2,0,2,0,al-Irshād
