"target.id.oclc","target.title","target.title.transliterated","target.location.name","target.location.coordinates","article.count","issue.count","journal.count"
"4770057679","المقتبس","almQtbs","al-Qāhira","30.06263, 31.24967",100,64,3
"1639361","الهلال","alhlal","al-Qāhira","30.06263, 31.24967",24,22,3
"1588981","المنار","almnar","al-Qāhira","30.06263, 31.24967",19,17,3
"931941685","المقتطف","almQtTf","Bayrūt","33.88894, 35.49442",20,15,3
"1034555409","الضياء","alDyaq","al-Qāhira","30.06263, 31.24967",10,10,3
"1034548778","المفيد","almfyd","Bayrūt","33.88894, 35.49442",13,9,3
"472450345","لغة العرب","lG0 al3rb","Baghdād","33.34058, 44.40088",94,29,2
"644997575","الحقائق","al7Qa5Q","Dimashq","33.5102, 36.29128",57,26,2
"1681243","مجلة العالم الإسلامي","mjl0 al3alm alaslamy","Paris","48.85341, 2.3488",23,21,2
"473817521","المشرق","almWrQ","Bayrūt","33.88894, 35.49442",17,16,2
NA,"العلم","al3lm","Baghdād","33.34058, 44.40088",12,13,2
"792755902","المؤيد","almoyd","al-Qāhira","30.06263, 31.24967",10,11,2
"1034545644","الزهور","alzhwr","al-Qāhira","30.06263, 31.24967",11,10,2
NA,"الحياة","al7ya0",NA,NA,12,9,2
"263593774","الطان","alTan","Paris","48.85341, 2.3488",9,9,2
"792756327","الحسناء","al7snaq","Bayrūt","33.88894, 35.49442",9,8,2
NA,"العالمين","al3almyn",NA,NA,8,8,2
"1022938052","العرفان","al3rfan","Ṣaida","33.55751, 35.37148",11,7,2
"792754974","البيان","albyan","al-Qāhira","30.06263, 31.24967",7,7,2
NA,"الشرق","alWrQ",NA,NA,7,7,2
"992611467","التيمس","altyms","London","51.50853, -0.12574",6,6,2
"1034547407","الجامعة","aljam30","Alexandria","31.20176, 29.91582",6,5,2
"472961896","مجلة المجلات","mjl0 almjlat","Paris","48.85341, 2.3488",5,5,2
NA,"مقتبس","mQtbs",NA,NA,5,4,2
"1034550756","الحقيقة","al7QyQ0","Bayrūt","33.88894, 35.49442",3,3,2
"1034551122","الآثار","alaUar","Zaḥla","33.84972, 35.90417",3,3,2
"42900564","الاتحاد العثماني","alat7ad al3Umany","Bayrūt","33.88894, 35.49442",3,3,2
NA,"الحقوق","al7QwQ","Jabal Lubnān","33.91667, 35.66667",3,3,2
NA,"العصر الجديد","al3Sr aljdyd","Dimashq","33.5102, 36.29128",3,3,2
NA,"الوطن","alwTn","Bayrūt","33.88894, 35.49442",3,3,2
NA,"الكوثر","alkwUr",NA,NA,2,3,2
NA,"بغداد","bGdad",NA,NA,8,2,2
NA,"طبيب العائلة","Tbyb al3a5l0",NA,NA,3,2,2
"173830042","الطبيب","alTbyb",NA,NA,2,2,2
"987291181","الجنان","aljnan","Bayrūt","33.88894, 35.49442",2,2,2
NA,"الإرشاد","alarWad",NA,NA,2,2,2
NA,"الرأي العام","alray al3am","Bayrūt","33.88894, 35.49442",2,2,2
NA,"الزوراء","alzwraq","Baghdād","33.34058, 44.40088",2,2,2
NA,"العرب","al3rb",NA,NA,2,2,2
NA,"الكلية","alkly0",NA,NA,2,2,2
NA,"النصير","alnSyr",NA,NA,2,2,2
NA,"تنوير الأفكار","tnwyr alafkar",NA,NA,2,2,2
