Source,Target,Type,Id,Label,timeset,Weight
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,NN_oclc.4770057679_v.5_i.9_div_2.d1e1398,Undirected,0,,,82
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,NN_oclc.4770057679_v.6_i.5_div_3.d1e2089,Undirected,1,,,88
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,oape.482_oclc.4770057679_v.6_i.2_div_2.d1e1517,Undirected,2,,,2
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,oape.707_oclc.4770057679_v.3_i.4_div_5.d1e1106,Undirected,3,,,28
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,oape.707_oclc.4770057679_v.3_i.7_div_4.d1e910,Undirected,4,,,16
NN_oclc.4770057679_v.3_i.12_div_3.d1e699,أبو اليسر ابراهيم بن محمد بن المدبر_oclc.4770057679_v.4_i.9_div_4.d1e1061,Undirected,5,,,12
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,NN_oclc.4770057679_v.6_i.5_div_3.d1e2089,Undirected,6,,,4
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,oape.185_oclc.4770057679_v.3_i.3_div_5.d1e2187,Undirected,7,,,160
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,oape.482_oclc.4770057679_v.6_i.2_div_2.d1e1517,Undirected,8,,,18
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,oape.482_oclc.4770057679_v.6_i.4_div_7.d1e1810,Undirected,9,,,6
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,oape.497_oclc.4770057679_v.3_i.5_div_3.d1e696,Undirected,10,,,198
NN_oclc.4770057679_v.3_i.4_div_3.d1e696,أبو اليسر ابراهيم بن محمد بن المدبر_oclc.4770057679_v.4_i.9_div_4.d1e1061,Undirected,11,,,10
NN_oclc.4770057679_v.3_i.9_div_3.d1e696,NN_oclc.4770057679_v.6_i.5_div_3.d1e2089,Undirected,12,,,82
